food_name,category,calories,protein,carbs,fat,iron,vitamin_c,is_glutenfree,is_nutfree,is_vegan,nutrient_density,protein_ratio,carb_fat_ratio,energy_density,micronutrient_score,fit
"Apple, candied",Apples,134.0,1.34,29.61,2.15,0.12,3.6,1,1,1,0.037481481481481484,0.009925925925925927,13.765690376569038,1.34,4.8,0
"Apple, raw",Apples,61.0,0.17,14.8,0.15,0.03,4.6,1,1,1,0.07741935483870968,0.002741935483870968,98.0132450331126,0.61,4.8999999999999995,0
"Apple, dried",Dried fruits,243.0,0.93,65.89,0.32,1.4,3.9,1,1,1,0.025532786885245903,0.0038114754098360656,205.26479750778816,2.43,17.9,0
"Crisp, apple",Cakes and pies,215.0,2.81,30.18,9.59,1.0,0.6,0,1,0,0.020416666666666666,0.01300925925925926,3.1467000312793245,2.15,10.6,1
"Apple, baked",Apples,113.0,0.32,22.7,3.08,0.19,3.9,1,1,1,0.03868421052631579,0.0028070175438596493,7.367737747484583,1.13,5.8,0
Apple cider,Apple juice,46.0,0.1,11.3,0.13,0.12,0.9,0,1,0,0.023829787234042554,0.002127659574468085,86.25954198473282,0.46,2.1,0
"Cobbler, apple",Cakes and pies,217.0,2.05,33.56,8.66,0.98,0.6,0,1,0,0.01665137614678899,0.009403669724770641,3.8748412423507683,2.17,10.4,0
"Croissants, apple",Baked Products,1060.0,7.4,37.1,8.7,1.1,0.5,0,1,0,0.008482563619227144,0.006974552309142319,4.263877715205149,10.6,11.5,0
"Pie, apple",Cakes and pies,296.0,2.7,37.55,15.28,1.23,0.5,0,1,0,0.014915824915824915,0.009090909090909092,2.4572999149270336,2.96,12.8,0
"Strudel, apple",Cakes and pies,281.0,1.96,37.18,14.08,0.3,0.5,0,1,0,0.00978723404255319,0.0069503546099290775,2.6404374689297634,2.81,3.5,0
Apple pie filling,Apples,100.0,0.1,26.1,0.1,0.29,1.7,1,1,1,0.02069306930693069,0.0009900990099009901,258.4158415841584,1.0,4.6,0
"Apple juice, 100%",Apple juice,48.0,0.09,11.34,0.25,0.06,38.6,0,1,0,0.7908163265306123,0.001836734693877551,45.179282868525895,0.48,39.2,1
Apple salad with dressing,Other fruits and fruit salads,180.0,1.45,12.2,14.24,0.28,3.4,1,1,1,0.02834254143646409,0.008011049723756906,0.8566814128221333,1.8,6.2,0
"Cake or cupcake, apple",Cakes and pies,376.0,2.41,52.52,17.5,0.9,0.2,0,1,0,0.009310344827586208,0.006392572944297082,3.000971373064396,3.76,9.2,0
"Fruit butters, apple",Sweets,173.0,0.39,42.5,0.3,0.31,0.6,0,1,0,0.007471264367816091,0.0022413793103448275,141.19601328903656,1.73,3.7,0
"Rose-apples, raw",Fruits and Fruit Juices,105.0,0.6,5.7,0.3,0.07,22.3,1,1,1,0.21669811320754717,0.005660377358490566,18.93687707641196,1.05,23.0,1
"Carrots, raw, salad with apples","Coleslaw, non-lettuce salads",181.0,0.85,8.59,16.02,0.16,6.4,0,1,0,0.04071428571428572,0.00467032967032967,0.5361712752012983,1.81,8.0,0
"Banana, baked",Bananas,161.0,0.82,32.43,3.21,0.06,10.4,1,1,1,0.06962962962962964,0.005061728395061728,10.09965742759265,1.61,11.0,0
"Banana, raw",Bananas,97.0,0.74,22.71,0.28,0.0,12.0,1,1,1,0.13,0.007551020408163266,80.81850533807828,0.97,12.0,0
Banana chips,Dried fruits,519.0,2.3,58.4,33.6,1.25,6.3,1,1,1,0.018942307692307692,0.004423076923076923,1.7380435106098033,5.19,18.8,0
Banana nectar,Fruit drinks,74.0,0.26,18.01,0.13,0.0,4.3,0,1,0,0.06079999999999999,0.003466666666666667,137.48091603053436,0.74,4.3,0
Banana pudding,Pudding,160.0,2.57,28.0,4.26,0.42,3.2,0,1,0,0.0384472049689441,0.01596273291925466,6.571227411405773,1.6,7.4,0
Banana split,Ice cream and frozen dairy desserts,199.0,2.42,32.59,6.88,0.17,4.5,0,1,0,0.03545,0.0121,4.736230199098968,1.99,6.2,0
"Bananas, raw",Fruits and Fruit Juices,371.0,1.09,22.8,0.33,0.26,8.7,1,1,1,0.02701612903225806,0.0029301075268817205,68.8821752265861,3.71,11.299999999999999,0
"Bananas, overripe, raw",Fruits and Fruit Juices,85.0,0.73,20.1,0.22,0.41,9.7,1,1,1,0.06765720081135904,0.008488372093023255,90.9502262443439,0.85,16.85,0
"Cake or cupcake, banana",Cakes and pies,379.0,2.47,53.07,17.51,0.88,1.0,0,1,0,0.011447368421052631,0.006500000000000001,3.030666438238821,3.79,9.8,0
"Melon, banana (Navajo)",American Indian/Alaska Native Foods,90.0,0.84,4.06,0.2,0.21,8.1,0,1,0,0.10054945054945055,0.00923076923076923,20.199004975124375,0.9,10.2,0
"Pepper, banana, raw",Vegetables and Vegetable Products,27.0,1.66,5.35,0.45,0.46,82.7,1,1,1,3.0292857142857144,0.05928571428571428,11.862527716186252,0.27,87.3,1
"Peppers, banana, raw",Other vegetables and combinations,27.0,1.66,5.35,0.45,0.46,82.7,0,1,0,3.0292857142857144,0.05928571428571428,11.862527716186252,0.27,87.3,1
"Pie, banana cream",Cakes and pies,284.0,2.42,32.35,16.17,0.6,0.8,0,1,0,0.013403508771929825,0.008491228070175438,2.000494712757405,2.84,6.8,0
"Snacks, banana chips",Snacks,519.0,2.3,58.4,33.6,1.25,6.3,0,1,0,0.018942307692307692,0.004423076923076923,1.7380435106098033,5.19,18.8,0
"Orange, raw",Citrus fruits,50.0,0.92,11.78,0.14,0.22,56.2,1,1,1,1.124313725490196,0.01803921568627451,83.54609929078013,0.5,58.400000000000006,1
"Marmalade, orange",Sweets,246.0,0.3,66.3,0.0,0.15,4.8,0,1,0,0.02125506072874494,0.0012145748987854252,66300.0,2.46,6.3,0
Orange Blossom,Liquor and cocktails,98.0,0.57,9.32,0.26,0.06,21.2,0,1,0,0.22050505050505048,0.005757575757575757,35.7088122605364,0.98,21.8,1
Orange chicken,Stir-fry and soy-based sauce mixtures,262.0,14.46,22.46,12.68,0.94,0.9,0,1,0,0.06197718631178707,0.054980988593155894,1.7711536945035882,2.62,10.299999999999999,0
"Sherbet, orange",Sweets,144.0,1.1,30.4,2.0,0.14,2.3,0,1,0,0.024413793103448277,0.007586206896551725,15.19240379810095,1.44,3.7,0
"Orange, canned, NFS",Citrus fruits,46.0,0.6,11.82,0.04,0.26,33.3,1,1,1,0.7268085106382978,0.01276595744680851,288.2926829268293,0.46,35.9,1
"Beverages, carbonated, orange",Beverages,201.0,0.0,12.3,0.0,0.06,0.0,0,1,0,0.000297029702970297,0.0,12300.0,2.01,0.6,0
"Orange peel, raw",Fruits and Fruit Juices,405.0,1.5,25.0,0.2,0.8,136.0,1,1,1,0.34064039408867,0.003694581280788177,124.37810945273631,4.05,144.0,1
"Orange, canned, in syrup",Citrus fruits,55.0,0.59,14.07,0.04,0.26,32.5,1,1,1,0.5955357142857143,0.010535714285714285,343.1707317073171,0.55,35.1,1
"Oranges, raw, Florida",Fruits and Fruit Juices,46.0,0.7,11.5,0.21,0.09,45.0,1,1,1,0.9742553191489361,0.014893617021276595,54.502369668246445,0.46,45.9,1
"Oranges, raw, navels",Fruits and Fruit Juices,47.0,0.91,11.8,0.15,0.33,59.1,1,1,1,1.2570833333333333,0.018958333333333334,78.14569536423842,0.47,62.4,1
"Oranges, raw, with peel",Fruits and Fruit Juices,262.0,1.3,15.5,0.3,0.8,71.0,1,1,1,0.27794676806083646,0.004942965779467681,51.49501661129568,2.62,79.0,1
"Tomatoes, orange, raw",Vegetables and Vegetable Products,67.0,1.16,3.18,0.19,0.47,16.0,1,1,1,0.25926470588235295,0.017058823529411765,16.649214659685864,0.67,20.7,1
"Grapes, raw",Grapes,83.0,0.9,19.4,0.2,0.18,3.2,0,1,0,0.05095238095238096,0.010714285714285714,96.51741293532336,0.83,5.0,0
"Grape juice, 100%",Other fruit juice,66.0,0.18,15.73,0.28,0.08,50.4,0,1,0,0.7561194029850746,0.0026865671641791043,55.97864768683274,0.66,51.199999999999996,1
"Grape leaves, canned",Vegetables and Vegetable Products,69.0,4.27,11.7,1.97,2.98,11.3,1,1,1,0.265,0.06099999999999999,5.936073059360731,0.69,41.1,1
"Grape leaves, raw",Vegetables and Vegetable Products,390.0,5.6,17.3,2.12,2.63,11.1,1,1,1,0.049437340153452684,0.014322250639386188,8.156529938708157,3.9,37.4,0
"Grapes, muscadine, raw",Fruits and Fruit Juices,238.0,0.81,13.9,0.47,0.26,6.5,1,1,1,0.03167364016736402,0.003389121338912134,29.51167728237792,2.38,9.1,0
"Tomatoes, grape, raw",Vegetables and Vegetable Products,27.0,0.83,5.51,0.63,0.33,27.2,1,1,1,1.012857142857143,0.02964285714285714,8.732171156893818,0.27,30.5,0
"Beverages, carbonated, grape soda",Beverages,180.0,0.0,11.2,0.0,0.08,0.0,0,1,0,0.0004419889502762431,0.0,11199.999999999998,1.8,0.8,0
"Beverages, grape drink, canned",Beverages,61.0,0.0,15.7,0.0,0.07,31.4,0,1,0,0.5075806451612903,0.0,15699.999999999998,0.61,32.1,1
"Grape juice drink, light",Fruit drinks,23.0,0.06,5.51,0.1,0.03,17.6,0,1,0,0.7370833333333334,0.0025,54.55445544554455,0.23,17.900000000000002,1
Grape leaves stuffed with rice,Rice mixed dishes,168.0,2.28,13.88,11.95,1.25,5.6,1,1,1,0.05402366863905325,0.013491124260355028,1.1614090871056817,1.68,18.1,0
"Beverages, grape juice drink, canned",Beverages,237.0,0.0,14.6,0.0,0.13,26.5,0,1,0,0.111890756302521,0.0,14600.0,2.37,27.8,1
"Beverages, OCEAN SPRAY, Cran Grape",Beverages,224.0,0.21,13.2,0.0,0.04,28.1,0,1,0,0.126,0.0009333333333333333,13199.999999999998,2.24,28.5,1
"Grape juice, 100%, with calcium added",Other fruit juice,62.0,0.37,14.77,0.13,0.25,25.0,0,1,0,0.4066666666666667,0.005873015873015873,112.74809160305342,0.62,27.5,1
Stuffed grape leaves with beef and rice,Meat mixed dishes,228.0,8.15,11.3,17.03,1.91,9.7,0,1,0,0.0862882096069869,0.03558951965065502,0.6634959779226116,2.28,28.799999999999997,1
Stuffed grape leaves with lamb and rice,Meat mixed dishes,271.0,8.17,11.89,21.52,1.83,8.0,0,1,0,0.0661764705882353,0.030036764705882353,0.5524836206495981,2.71,26.3,0
"Mango, raw",Mango and papaya,60.0,0.82,14.98,0.38,0.16,36.4,0,1,0,0.6127868852459015,0.01344262295081967,39.31758530183727,0.6,38.0,1
"Mango, canned",Mango and papaya,65.0,0.62,16.22,0.3,0.12,21.8,0,1,0,0.3415151515151515,0.009393939393939394,53.88704318936877,0.65,23.0,1
"Mango, frozen",Mango and papaya,60.0,0.82,14.98,0.38,0.16,36.4,0,1,0,0.6127868852459015,0.01344262295081967,39.31758530183727,0.6,38.0,1
Mango nectar,Fruit drinks,51.0,0.11,13.12,0.06,0.36,15.2,0,1,0,0.3013461538461538,0.0021153846153846153,215.08196721311475,0.51,18.799999999999997,1
"Mango, dried",Dried fruits,319.0,2.45,78.58,1.18,0.23,42.3,1,1,1,0.14056249999999998,0.007656250000000001,66.53683319221,3.19,44.599999999999994,0
"Mangos, raw",Fruits and Fruit Juices,60.0,0.82,15.0,0.38,0.16,36.4,1,1,1,0.6127868852459015,0.01344262295081967,39.37007874015748,0.6,38.0,1
"Mango nectar, canned",Fruits and Fruit Juices,51.0,0.11,13.1,0.06,0.36,15.2,1,1,1,0.3013461538461538,0.0021153846153846153,214.75409836065575,0.51,18.799999999999997,1
"Mango, dried, sweetened",Fruits and Fruit Juices,1340.0,2.45,78.6,1.18,0.23,42.3,1,1,1,0.033542132736763604,0.0018269947800149144,66.55376799322609,13.4,44.599999999999994,0
"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,37.0,1.22,7.76,0.0,0.15,24.5,0,1,0,0.6807894736842105,0.032105263157894734,7760.0,0.37,26.0,1
"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,93.0,7.64,11.8,1.69,0.03,0.0,1,1,0,0.08159574468085107,0.08127659574468085,6.97811945594323,0.93,0.3,0
"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,33.0,0.0,8.23,0.0,0.41,24.7,0,1,0,0.06765720081135904,0.0,8230.0,0.33,16.85,1
"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,49.0,0.41,11.4,0.0,0.15,24.4,0,1,0,0.4991999999999999,0.008199999999999999,11400.0,0.49,25.9,1
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,262.0,0.42,15.0,0.0,0.15,2.5,1,1,1,0.011673003802281368,0.0015969581749049428,15000.0,2.62,4.0,0
"Salsa, red, homemade",Tomato-based condiments,34.0,1.44,6.74,0.19,0.42,1.9,0,1,0,0.10742857142857143,0.04114285714285714,35.287958115183244,0.34,6.1,0
"Pear, raw",Pears,59.0,0.37,15.18,0.15,0.18,4.3,0,1,0,0.08083333333333333,0.006166666666666667,100.52980132450331,0.59,6.1,0
Pear nectar,Fruit drinks,60.0,0.11,15.76,0.01,0.26,1.1,0,1,0,0.024098360655737706,0.0018032786885245902,1432.7272727272727,0.6,3.7,0
"Pear, dried",Dried fruits,262.0,1.87,69.7,0.63,2.1,7.0,1,1,1,0.041711026615969586,0.007110266159695818,110.45958795562599,2.62,28.0,0
"Pears, raw",Fruits and Fruit Juices,57.0,0.36,15.2,0.14,0.18,4.3,1,1,1,0.08344827586206896,0.006206896551724138,107.8014184397163,0.57,6.1,0
"Pear, Asian, raw",Pears,42.0,0.5,10.65,0.23,0.0,3.8,0,1,0,0.09999999999999999,0.011627906976744186,46.103896103896105,0.42,3.8,0
"Pear, canned, in syrup",Pears,59.0,0.18,15.15,0.05,0.2,0.9,0,1,0,0.021333333333333333,0.003,297.05882352941177,0.59,2.9,0
"Pear, canned, NFS",Pears,52.0,0.2,13.47,0.06,0.25,1.0,0,1,0,0.027358490566037737,0.0037735849056603774,220.81967213114757,0.52,3.5,0
"Pears, asian, raw",Fruits and Fruit Juices,176.0,0.5,10.6,0.23,0.0,3.8,1,1,1,0.02429378531073446,0.002824858757062147,45.887445887445885,1.76,3.8,0
"Pears, raw, bartlett",Fruits and Fruit Juices,238.0,0.38,15.1,0.16,0.17,4.4,1,1,1,0.020711297071129706,0.001589958158995816,93.7888198757764,2.38,6.1000000000000005,0
"Prickly pears, raw",Fruits and Fruit Juices,172.0,0.73,9.57,0.51,0.3,14.0,1,1,1,0.086878612716763,0.004219653179190751,18.7279843444227,1.72,17.0,0
"Pear, canned, juice pack",Pears,45.0,0.23,11.79,0.07,0.29,1.1,0,1,0,0.035217391304347825,0.005,166.056338028169,0.45,4.0,0
"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,1100.0,1.87,69.7,0.63,2.1,7.0,1,1,1,0.009963669391462308,0.0016984559491371482,110.45958795562599,11.0,28.0,0
"Pears, raw, red anjou",Fruits and Fruit Juices,62.0,0.33,14.9,0.14,0.19,5.2,1,1,1,0.0907936507936508,0.005238095238095239,105.67375886524822,0.62,7.1,0
"Strawberries, raw",Strawberries,36.0,0.64,7.96,0.22,0.26,59.6,0,1,0,1.635135135135135,0.017297297297297298,36.01809954751131,0.36,62.2,1
"Strawberries, canned",Strawberries,92.0,0.56,23.53,0.26,0.49,31.7,0,1,0,0.3521505376344086,0.006021505376344087,90.15325670498085,0.92,36.6,1
"Strawberries, frozen",Strawberries,35.0,0.43,9.13,0.11,0.75,41.2,0,1,0,1.1772222222222224,0.011944444444444445,82.25225225225226,0.35,48.7,1
"Pie, strawberry",Cakes and pies,289.0,2.88,44.22,11.6,1.37,15.8,0,1,0,0.06913793103448276,0.00993103448275862,3.8117403672097234,2.89,29.5,1
"Toppings, strawberry",Sweets,1060.0,0.2,66.3,0.1,0.28,13.7,0,1,0,0.013364750235626766,0.00018850141376060322,656.4356435643564,10.6,16.5,0
"Cake or cupcake, strawberry",Cakes and pies,326.0,2.22,50.25,12.89,0.87,3.3,0,1,0,0.019541284403669725,0.006788990825688074,3.8980684198277866,3.26,12.0,0
"Cake, strawberry shortcake",Cakes and pies,214.0,3.31,40.09,4.73,1.6,12.4,0,1,0,0.08051162790697676,0.015395348837209303,8.473895582329316,2.14,28.4,1
"Guavas, strawberry, raw",Fruits and Fruit Juices,289.0,0.58,17.4,0.6,0.22,37.0,1,1,1,0.13034482758620689,0.002,28.951747088186355,2.89,39.2,0
"Ice creams, strawberry",Sweets,803.0,3.2,27.6,8.4,0.21,7.7,0,1,0,0.013818407960199005,0.003980099502487563,3.2853231758124037,8.03,9.8,0
"McDONALD'S, Strawberry Sundae",Fast Foods,158.0,3.19,28.1,3.95,0.1,1.5,0,1,0,0.030125786163522014,0.020062893081761006,7.112123513034675,1.58,2.5,0
Strawberry drink syrup,"Jams, syrups, toppings",261.0,0.0,65.1,0.02,0.03,0.0,0,1,0,0.00011450381679389313,0.0,3099.9999999999995,2.61,0.3,0
"Strawberry juice, 100%",Other fruit juice,23.0,0.42,5.17,0.14,0.17,38.7,0,1,0,1.6370833333333337,0.017499999999999998,36.666666666666664,0.23,40.400000000000006,1
"Strawberry milk, NFS","Flavored milk, reduced fat",65.0,3.2,8.54,2.06,0.02,0.1,0,1,0,0.05030303030303031,0.048484848484848485,4.143619602134886,0.65,0.30000000000000004,0
"Strawberry milk, whole","Flavored milk, whole",86.0,3.03,11.79,2.97,0.03,0.0,0,1,0,0.035172413793103444,0.03482758620689655,3.9683608212722983,0.86,0.3,0
"Fast foods, sundae, strawberry",Fast Foods,732.0,4.09,29.2,5.13,0.21,1.3,0,1,0,0.007639836289222373,0.005579809004092769,5.690898460339115,7.32,3.4000000000000004,0
"Kefir, lowfat, strawberry, LIFEWAY",Dairy and Egg Products,62.0,3.39,10.2,0.9,0.04,1.5,1,1,0,0.07825396825396826,0.053809523809523814,11.320754716981131,0.62,1.9,0
SILK Strawberry soy yogurt,Legumes and Legume Products,94.0,2.35,18.2,1.18,0.64,17.6,1,1,1,0.2167368421052632,0.024736842105263158,15.410668924640136,0.94,24.0,1
"Strawberries, frozen, sweetened, sliced",Fruits and Fruit Juices,402.0,0.53,25.9,0.13,0.59,41.4,1,1,1,0.10550868486352356,0.001315136476426799,197.70992366412213,4.02,47.3,0
"Blueberries, raw",Blueberries and other berries,64.0,0.7,14.57,0.31,0.34,8.1,0,1,0,0.14061538461538461,0.010769230769230769,46.84887459807074,0.64,11.5,0
"Blueberries, frozen",Blueberries and other berries,51.0,0.42,12.17,0.64,0.18,2.5,0,1,0,0.05961538461538462,0.008076923076923077,18.985959438377535,0.51,4.3,0
"Blueberries, dried",Dried fruits,317.0,2.5,80.0,2.5,0.9,23.8,1,1,1,0.08553459119496855,0.007861635220125786,31.98720511795282,3.17,32.8,1
Blueberry juice,Other fruit juice,42.0,0.46,9.47,0.2,0.22,5.3,0,1,0,0.13906976744186045,0.010697674418604652,47.114427860696516,0.42,7.5,0
Blueberry syrup,"Jams, syrups, toppings",341.0,0.0,85.13,0.0,0.04,1.6,0,1,0,0.004795321637426901,0.0,85130.0,3.41,2.0,0
"Pie, blueberry",Cakes and pies,300.0,2.82,37.95,15.52,1.21,1.1,0,1,0,0.01704318936877076,0.009368770764119601,2.445074415308292,3.0,13.2,0
"Blueberries, dried, sweetened",Fruits and Fruit Juices,1330.0,2.5,80.0,2.5,0.9,23.8,1,1,1,0.020435762584522916,0.0018782870022539444,31.98720511795282,13.3,32.8,1
"Blueberries, frozen, sweetened",Fruits and Fruit Juices,355.0,0.4,22.0,0.13,0.39,1.0,1,1,1,0.005028089887640449,0.0011235955056179776,167.93893129770993,3.55,4.9,0
Blueberry pie filling,"Jams, syrups, toppings",181.0,0.41,44.38,0.2,0.8,0.7,0,1,0,0.010494505494505493,0.0022527472527472526,220.7960199004975,1.81,8.7,1
"Muffins, blueberry, toaster-type",Baked Products,1310.0,4.6,53.3,9.5,0.51,0.0,0,1,0,0.003897787948131197,0.003508771929824561,5.609935796231976,13.1,5.1,0
"Pie fillings, blueberry, canned",Sweets,757.0,0.41,44.4,0.2,0.8,0.7,0,1,0,0.0025197889182058046,0.0005408970976253297,220.89552238805967,7.57,8.7,0
"Pie, blueberry, commercially prepared",Baked Products,971.0,1.8,34.9,10.0,0.3,2.7,0,1,0,0.004938271604938272,0.001851851851851852,3.4896510348965104,9.71,5.7,0
SILK Blueberry soy yogurt,Legumes and Legume Products,88.0,2.35,17.1,1.18,0.64,17.6,1,1,1,0.2313483146067416,0.026404494382022473,14.479254868755296,0.88,24.0,1
"Yogurt, Greek, Blueberry, CHOBANI",Dairy and Egg Products,82.0,7.23,12.8,0.24,0.15,0.3,1,1,0,0.09253012048192771,0.08710843373493976,53.11203319502075,0.82,1.8,1
Potato patty,French fries and other fried white potatoes,171.0,3.89,13.49,11.32,0.75,0.5,0,1,0,0.02988372093023256,0.02261627906976744,1.1915908488649414,1.71,8.0,0
"Soup, potato","Soups, cream-based",90.0,1.51,10.53,4.71,0.34,7.1,0,1,0,0.09835164835164835,0.016593406593406593,2.2351942262789213,0.9,10.5,0
Potato pancake,Mashed potatoes and white potato mixtures,196.0,4.47,20.64,10.8,1.3,15.6,0,1,0,0.10847715736040608,0.022690355329949237,1.9109341727617812,1.96,28.6,1
Stewed potatoes,Mashed potatoes and white potato mixtures,103.0,1.99,16.26,3.39,0.38,15.1,0,1,0,0.1679807692307692,0.019134615384615385,4.795045709230316,1.03,18.9,0
"Potato, NFS","White potatoes, baked or boiled",126.0,1.87,20.45,4.25,0.34,12.1,0,1,0,0.1126771653543307,0.014724409448818898,4.810632792284168,1.26,15.5,0
"Bread, potato",Baked Products,1120.0,12.5,47.1,3.13,2.25,0.0,0,1,0,0.013157894736842105,0.011150758251561105,15.043117214947303,11.2,22.5,0
"Gnocchi, potato","Pasta mixed dishes, excludes macaroni and cheese",135.0,2.44,17.2,6.33,0.83,1.9,0,1,1,0.038014705882352944,0.017941176470588235,2.716790396461854,1.35,10.2,1
Potato flour,Vegetables and Vegetable Products,357.0,6.9,83.1,0.34,1.38,3.8,1,1,1,0.03374301675977654,0.019273743016759777,243.69501466275656,3.57,17.599999999999998,1
Potato pancakes,Vegetables and Vegetable Products,268.0,6.08,27.8,14.8,1.67,27.6,1,1,1,0.13141263940520448,0.022602230483271375,1.8782514694953043,2.68,44.3,1
"Soup, potato with meat","Soups, cream-based",109.0,3.78,8.81,6.43,0.48,5.5,0,1,0,0.08872727272727272,0.03436363636363636,1.3699269164982117,1.09,10.3,0
"Potato tots, NFS",French fries and other fried white potatoes,237.0,1.9,24.4,15.46,0.47,6.4,0,1,0,0.03684873949579832,0.007983193277310924,1.5781644136860487,2.37,11.1,0
"Potato tots, school",French fries and other fried white potatoes,166.0,2.02,19.34,9.16,0.66,10.1,0,1,0,0.07652694610778443,0.012095808383233533,2.1111232398209805,1.66,16.7,0
Sweet potato tots,Fried vegetables,191.0,2.26,37.3,9.35,0.81,7.5,0,1,0,0.055052083333333335,0.011770833333333333,3.988878194845471,1.91,15.600000000000001,0
"Potato, boiled, NFS","White potatoes, baked or boiled",126.0,1.87,20.45,4.25,0.34,12.1,0,1,0,0.1126771653543307,0.014724409448818898,4.810632792284168,1.26,15.5,0
"Potato chips, NFS",Potato chips,532.0,6.39,53.83,33.98,1.28,21.6,0,1,0,0.05491557223264541,0.01198874296435272,1.5841205379476768,5.32,34.400000000000006,1
